181|171|30g
181|17|30g
181|173|20g
181|26|3g
181|23|2g
182|10|210g
182|172|20g
182|143|10g
182|170|50g
182|171|20g
182|17|20g
182|14|1g
182|19|1g
182|20|0.5g
182|26|1g
182|127|0g
183|10|210g
183|174|30g
183|154|20g
183|34|20g
183|29|20g
183|75|10g
183|175|10g
183|176|5g
183|104|5g
183|127|5g
183|26|4g
183|20|1g
183|31|1g
184|10|210g
184|177|40g
184|174|20g
184|143|10g
184|75|10g
184|178|10g
184|29|4g
184|179|2g
184|19|2g
184|24|1g
185|10|180g
185|57|20g
185|41|20g
185|92|10g
185|58|5g
185|91|5g
186|10|210g
186|180|20g
186|3|60g
186|174|30g
186|34|20g
186|29|20g
186|175|20g
186|104|10g
186|127|5g
186|20|1g
187|10|210g
187|2|70g
187|174|20g
187|29|20g
187|7|5g
187|23|5g
187|15|1g
187|19|1g
187|26|1g
188|181|50g
188|10|210g
188|143|10g
188|182|30g
188|173|12g
188|19|4g
188|26|4g
188|127|3g
188|7|0g
188|14|2g
188|20|0g
189|174|60g
189|21|0g
189|99|0g
189|19|5g
189|26|5g
189|18|35g
189|15|2g
189|20|0g
189|14|3g
189|178|35g
189|127|15g
189|34|35g
189|3|80g
189|10|210g
189|143|15g
190|10|210g
190|133|60g
190|2|35g
190|37|35g
190|183|35g
190|178|35g
190|184|35g
190|18|35g
190|185|5g
190|186|20g
190|187|5g
190|143|15g
190|15|6g
190|4|5g
190|19|5g
190|20|0g
190|21|0g
190|26|5g
190|14|3g
191|10|117.3g
191|13|26.7g
191|17|10.9g
191|127|2.1g
191|19|1.6g
191|26|1.1g
191|20|0.6g
192|44|15g
192|42|100g
192|1|15g
192|91|15g
192|29|10g
192|23|5g
192|188|3g
192|189|20g
192|186|8g
192|20|0.5g
192|7|7g
192|190|2g
192|26|2g
192|19|3g
192|31|0.1g
192|191|2g
192|88|43g
192|192|3g
192|127|10g
192|14|0.5g
193|77|80g
193|88|130g
193|193|100g
193|145|20g
193|178|20g
193|20|1.8g
193|31|0.1g
193|160|4g
194|78|40g
194|45|30g
194|194|100g
194|147|50g
194|195|4g
194|150|4g
194|20|0.2g
194|31|0.1g
194|88|40g
194|7|12g
194|167|3g
194|24|3g
194|26|2g
195|140|200g
195|29|15g
195|196|20g
195|197|15g
195|36|70g
195|99|2g
195|15|0.5g
195|7|3g
195|87|4g
195|26|2g
195|143|6g
195|14|0.5g
196|198|40g
196|19|4g
196|4|5g
196|127|4g
196|10|200g
196|3|60g
196|34|12g
196|20|1.6g
196|31|0.05g
196|199|0.05g
197|174|20g
197|177|40g
197|10|160g
197|29|20g
197|96|20g
197|200|15g
197|3|60g
197|99|3g
197|86|4g
197|7|11g
197|4|2g
197|144|4g
197|31|0.05g
197|14|0.5g
197|26|2g
197|19|2g
197|127|2g
198|19|5g
